session,exam,year,question_id,subquestion_id,type,marks,AO,spec_reference,question_text,mark_scheme,extra_notes,question_page_start,question_page_end,mark_scheme_start_page,mark_scheme_end_page,has_figure,figure_labels_joined,has_table,table_labels_joined,source_qp,source_ms,figure_labels,table_labels,question_pdf_link
NOV20,"AQA GCSE Combined Science: Physics Paper 1H, 2020",2020,2,2.5,extended response,6,AO1,"6.4.1.2, 6.4.2.1, 6.4.2.2","Explain the differences between the properties of alpha, beta and gamma radiations.","Level 3: Relevant points (reasons/causes) are identified, given in detail and logically linked to form a clear account.  
Level 2: Relevant points (reasons/causes) are identified, and there are attempts at logical linking. The resulting account is not fully clear.  
Level 1: Points are identified and stated simply, but their relevance is not clear and there is no attempt at logical linking.  
No relevant content  

Indicative content
alpha radiation
• an alpha particle is the same as a helium nucleus
• alpha is the least penetrating
• alpha is stopped by paper or skin
• alpha has the shortest range in air
• alpha will travel a few cm in air
• because alpha is most ionising
• because alpha has a charge of +2
beta radiation
• a beta particle is an electron (emitted from the nucleus)
• beta penetrates less than gamma and more than alpha
• beta is stopped by a thin sheet of aluminium
• beta has a shorter range than gamma
• beta will travel up to 1m in air
• because beta is more ionising that gamma and less ionising than alpha
• because beta has a charge of -1
gamma radiation
• gamma radiation is an electromagnetic wave
• gamma is the most penetrating
• gamma is reduced/stopped by several cm of lead or thick concrete
• gamma has the largest range in air
• gamma will travel very large distances in air
• because gamma is least ionising
• because is uncharged","to access level 3 the answer should compare alpha, beta and 
gamma radiation and provide some explanation of their properties",7,7,6,7,False,,False,,AQA-8464P1H-QP-NOV20.PDF,AQA-8464P1H-W-MS-NOV20.PDF,[],[],https://drive.google.com/file/d/1PWToiyX1XTHr00JKlsU2nEZm-Lk9Zlmc/view
NOV20,"AQA GCSE Combined Science: Physics Paper 1H, 2020",2020,3,3.1,short answer,3,AO1,"6.2.1.3, 6.2.1.4, RPA 15","A student investigated how the resistance of a piece of wire varies with its length.
Figure 2 shows the circuit used.

Figure 2

Explain why the student needed to adjust the variable resistor each time she changed the length of the wire.","(the variable resistor) changes the resistance of the circuit
to keep the current the same
so the temperature of the wire is kept constant","allow to control the temperature 
of the wire",9,9,9,9,True,Figure 2,False,,AQA-8464P1H-QP-NOV20.PDF,AQA-8464P1H-W-MS-NOV20.PDF,['Figure 2'],[],https://drive.google.com/file/d/165OcW9S063SUmAQb606BRnBLpOmHotSI/view
NOV20,"AQA GCSE Combined Science: Physics Paper 1H, 2020",2020,3,3.2,calculation,2,AO2,"6.2.1.3, RPA 15","The student recorded three measurements of the potential difference across a 0.10 m length of wire.
Table 1 shows the results.

Table 1

| Length in m | Potential difference in V |
|-------------|-------------------------|
|             | 1   | 2    | 3    | Mean |
| 0.10        | X   | 0.18 | 0.15 | 0.17 |

Calculate X in Table 1.
X = ____ V","0.17 = X + 0.18 + 0.15
X = 0.17 - 0.18 - 0.15
X = (3 × 0.17) – 0.18 – 0.15
X = 0.18 (V)",allow X = 3 × 0.17 – 0.18-0.15,10,10,10,10,False,,True,Table 1,AQA-8464P1H-QP-NOV20.PDF,AQA-8464P1H-W-MS-NOV20.PDF,[],['Table 1'],https://drive.google.com/file/d/165OcW9S063SUmAQb606BRnBLpOmHotSI/view
NOV20,"AQA GCSE Combined Science: Physics Paper 1H, 2020",2020,3,3.3,short answer,2,AO1,"6.2.1.3, RPA 15","Figure 3 shows the results for five different lengths of the wire.

Figure 3

Describe the relationship between the length of the wire and the resistance of the wire.",resistance is directly proportional to length,"allow length is directly 
proportional to resistance
allow as length increases 
resistance increases for 1 mark
allow positive correlation for 1 
mark",11,11,11,11,True,Figure 3,False,,AQA-8464P1H-QP-NOV20.PDF,AQA-8464P1H-W-MS-NOV20.PDF,['Figure 3'],[],https://drive.google.com/file/d/165OcW9S063SUmAQb606BRnBLpOmHotSI/view
NOV20,"AQA GCSE Combined Science: Physics Paper 1H, 2020",2020,3,3.4,calculation,4,AO3,6.2.1.3,"A glucometer uses the resistance of a blood sample to calculate the glucose concentration in a person’s blood.
A blood sample is put into a small tube, which is put inside the glucometer. The blood then acts like a resistance wire.
Figure 4 shows the relationship between the resistance of a blood sample and the glucose concentration.

Figure 4

The glucometer applies a potential difference of 0.90 volts across a blood sample.
The glucose concentration of the blood sample is 0.98 grams/litre.
Determine the current in the blood sample.
Current = ____ A","resistance = 7.5 (Ω)
0.90 = I × 7.5
I = 0.90 / 7.5
I = 0.12 (A)","allow a range from 7.4 to 7.6
allow their value of R read from 
the graph correctly substituted
allow a correct re-arrangement 
using their value of R read from 
the graph
allow a value consistent with 
their value of R read from the 
graph ",13,13,13,13,True,Figure 4,False,,AQA-8464P1H-QP-NOV20.PDF,AQA-8464P1H-W-MS-NOV20.PDF,['Figure 4'],[],https://drive.google.com/file/d/165OcW9S063SUmAQb606BRnBLpOmHotSI/view
NOV20,"AQA GCSE Combined Science: Physics Paper 1H, 2020",2020,3,3.5,short answer,2,AO3,6.2.1.3,"A new tube is used each time a blood sample is tested.
Explain why valid results are only obtained if each tube is identical.","the length/width/volume (of the blood sample) affects the resistance of the blood sample
so only glucose concentration affects resistance","allow length/width/volume (of 
the blood sample) should be a 
control variable
allow shape/size of the tube 
should be a control variable
ignore amount of blood",13,13,13,13,False,,False,,AQA-8464P1H-QP-NOV20.PDF,AQA-8464P1H-W-MS-NOV20.PDF,[],[],https://drive.google.com/file/d/165OcW9S063SUmAQb606BRnBLpOmHotSI/view
NOV20,"AQA GCSE Combined Science: Physics Paper 1H, 2020",2020,4,4.1,multiple choice,1,AO1,6.1.3,"Figure 5 shows a wood-fired hot tub.

Figure 5

What type of fuel is wood?
Tick (✓) one box.
| □ | A non-renewable biofuel |
| □ | A non-renewable fossil fuel |
| □ | A renewable biofuel |
| □ | A renewable fossil fuel |",a renewable biofuel,,14,14,14,14,True,Figure 5,False,,AQA-8464P1H-QP-NOV20.PDF,AQA-8464P1H-W-MS-NOV20.PDF,['Figure 5'],[],https://drive.google.com/file/d/1MuC36unz_Gcn7N_wSYg0xkkAfwSNIfiP/view
NOV20,"AQA GCSE Combined Science: Physics Paper 1H, 2020",2020,4,4.2,short answer,2,AO1,6.1.3,"Give two environmental effects of using wood as an energy resource.
1 ____________________
2 ____________________","any two from
• burning wood causes air pollution
• burning wood may lead to de-forestation
• destruction of habitats
• burning wood is carbon-neutral","allow creates smoke
ignore cutting down trees
allow does not contribute to 
global warming or the 
greenhouse effect or climate 
change",14,14,14,14,False,,False,,AQA-8464P1H-QP-NOV20.PDF,AQA-8464P1H-W-MS-NOV20.PDF,[],[],https://drive.google.com/file/d/1MuC36unz_Gcn7N_wSYg0xkkAfwSNIfiP/view
NOV20,"AQA GCSE Combined Science: Physics Paper 1H, 2020",2020,4,4.3,short answer,3,AO1,6.1.1.1,"Describe the change to the stores of energy of the wood, pipe and water as the water is heated.
Wood ____________________
Pipe ____________________
Water ____________________","the chemical store of energy of the wood decreases
the internal/thermal store of energy of the pipe increases
the internal/thermal store of energy of the water increases","both the store of energy and 
what happens to the store are 
required",15,15,15,15,False,,False,,AQA-8464P1H-QP-NOV20.PDF,AQA-8464P1H-W-MS-NOV20.PDF,[],[],https://drive.google.com/file/d/1MuC36unz_Gcn7N_wSYg0xkkAfwSNIfiP/view
NOV20,"AQA GCSE Combined Science: Physics Paper 1H, 2020",2020,4,4.4,short answer,2,AO2,6.1.2.1,"The temperature of the water reaches 42 °C
The temperature then stays constant even though the fire continues to burn.
Explain why the temperature of the water stays constant.","energy is dissipated (to the surroundings)
at the same rate that energy is transferred to the water","allow energy is transferred/lost 
to the surroundings",15,15,15,15,False,,False,,AQA-8464P1H-QP-NOV20.PDF,AQA-8464P1H-W-MS-NOV20.PDF,[],[],https://drive.google.com/file/d/1MuC36unz_Gcn7N_wSYg0xkkAfwSNIfiP/view
NOV20,"AQA GCSE Combined Science: Physics Paper 1H, 2020",2020,5,5.1,multiple choice,1,AO1,6.3.1.1,"Ice cream is made by cooling a mixture of liquid ingredients until they freeze.
Which statement describes the motion of the particles in solid ice cream?
Tick (✓) one box.
| □ | They are stationary. |
| □ | They move freely. |
| □ | They vibrate about fixed positions. |",they vibrate about fixed positions.,,16,16,16,16,False,,False,,AQA-8464P1H-QP-NOV20.PDF,AQA-8464P1H-W-MS-NOV20.PDF,[],[],https://drive.google.com/file/d/1hnbF_FjKsAPa5h7QCPGhltsKnSFSU362/view
NOV20,"AQA GCSE Combined Science: Physics Paper 1H, 2020",2020,5,5.2,multiple choice,1,AO1,6.3.2.1,"How do the kinetic energy and the potential energy of the particles change as a liquid is cooled and frozen?
Tick (✓) one box.
| □ | Decreases | Decreases |
| □ | Decreases | Does not change |
| □ | Does not change| Decreases |
| □ | Does not change| Does not change |","kinetic energy decreases
potential energy decreases",,16,16,16,16,False,,False,,AQA-8464P1H-QP-NOV20.PDF,AQA-8464P1H-W-MS-NOV20.PDF,[],[],https://drive.google.com/file/d/1hnbF_FjKsAPa5h7QCPGhltsKnSFSU362/view
NOV20,"AQA GCSE Combined Science: Physics Paper 1H, 2020",2020,5,5.3,extended response,4,AO2,6.1.2.1,"Figure 6 shows a bowl used for making ice cream.
The walls of the bowl contain a liquid coolant.
The bowl is cooled to –20 °C before the mixture is put in the bowl.
The bowl causes the mixture to cool down and freeze.

Figure 6

Explain why the different thermal conductivities of metal and plastic are important in the design of the bowl.
Metal ____________________
Plastic ____________________","metal: has a high thermal conductivity 
which increases the rate of energy transfer from the mixture
plastic: has a low thermal conductivity 
which reduces the rate of energy transfer from the surroundings (to the liquid coolant at –20°C)","allow ice cream for mixture
ignore references to insulation 
throughout",17,17,17,17,True,Figure 6,False,,AQA-8464P1H-QP-NOV20.PDF,AQA-8464P1H-W-MS-NOV20.PDF,['Figure 6'],[],https://drive.google.com/file/d/1hnbF_FjKsAPa5h7QCPGhltsKnSFSU362/view
NOV20,"AQA GCSE Combined Science: Physics Paper 1H, 2020",2020,5,5.4,short answer,2,AO2,6.3.2.2,"The liquid coolant has a freezing point below –20 °C
Explain one other property that the liquid coolant should have.","a high specific heat capacity
so it can absorb a large amount of energy with only a small temperature change",,18,18,18,18,False,,False,,AQA-8464P1H-QP-NOV20.PDF,AQA-8464P1H-W-MS-NOV20.PDF,[],[],https://drive.google.com/file/d/1hnbF_FjKsAPa5h7QCPGhltsKnSFSU362/view
NOV20,"AQA GCSE Combined Science: Physics Paper 1H, 2020",2020,5,5.5,calculation,6,AO2,"6.3.2.2, 6.3.2.3, 6.1.1.3","The initial temperature of the mixture was +20 °C. The mixture froze at –1.5 °C.
A total of 165 kJ of internal energy was transferred from the mixture to cool and freeze it.
specific heat capacity of the mixture = 3500 J/kg °C
specific latent heat of fusion of the mixture = 255 000 J/kg
Calculate the mass of the mixture.
Give your answer to 2 significant figures.
Mass (2 significant figures) = ____ kg","165 kJ = 165000 J
ΔE = m × 3500 × 21.5
ΔE = m × 75250
and
ΔE = m × 255000
165000 = 75250 m + 255000 m
or
165000 = 330250 m
m = 165000 / (75250 + 255000)
or
m = 165000 / 330250
m = 0.499621 (kg)
m = 0.50 (kg)","this mark may be awarded if E is 
incorrectly/not converted
this mark may be awarded if E is 
incorrectly/not converted
allow an answer consistent with 
their value of E
this answer only
If no marks awarded other than 
the first marking point:
either
165 000 = m × 3500 × 21.5 
scores 1 mark
m = 2.192… scores 1 mark
m = 2.2 (kg) scores 1 mark.
these marks may be awarded if 
E is incorrectly/not converted
or
165 000 = m × 255 000 scores 1 
mark
m = 0.647 scores 1 mark
m = 0.65kg scores 1 mark.
these marks may be awarded if 
E is incorrectly/not converted",19,19,19,19,False,,False,,AQA-8464P1H-QP-NOV20.PDF,AQA-8464P1H-W-MS-NOV20.PDF,[],[],https://drive.google.com/file/d/1hnbF_FjKsAPa5h7QCPGhltsKnSFSU362/view
NOV20,"AQA GCSE Combined Science: Physics Paper 1H, 2020",2020,6,6.1,short answer,1,AO1,6.4.2.3,"A student modelled radioactive decay by rolling some dice in a tray.
Dice that landed on the number six were removed from the tray.
The removed dice represent nuclei that have decayed.
Why is rolling dice a suitable model for radioactive decay?",both are random processes,"allow rolling dice is a random 
process
allow radioactive decay is a 
random process",20,20,20,20,False,,False,,AQA-8464P1H-QP-NOV20.PDF,AQA-8464P1H-W-MS-NOV20.PDF,[],[],https://drive.google.com/file/d/10jrAb-h3nWt50RC429yQFfGVNKWYqwDf/view
NOV20,"AQA GCSE Combined Science: Physics Paper 1H, 2020",2020,6,6.2,calculation,3,AO2,6.4.2.3,"The student rolled 144 dice and removed all those that landed on the number six.
The student rolled the remaining dice and again removed all those that landed on the number six.
When the student had rolled the dice 20 times there were 9 dice left.
Calculate the most likely number of times that the student had rolled the dice before the number of dice had halved.
You should show how you work out your answer.
Answer = ____ rolls of the dice","144 → 72 → 36 → 18 → 9
4 half lives

20^4 = 5 (rolls of the dice)","allow the probability of not 
getting a 6 is 5/6 
allow 144 × (5/6)4 = 69 
allow 69 is closest to 72 so 4 
(rolls of the dice) 
some credible working must be 
shown to gain this mark",20,20,20,20,False,,False,,AQA-8464P1H-QP-NOV20.PDF,AQA-8464P1H-W-MS-NOV20.PDF,[],[],https://drive.google.com/file/d/10jrAb-h3nWt50RC429yQFfGVNKWYqwDf/view
NOV20,"AQA GCSE Combined Science: Physics Paper 1H, 2020",2020,6,6.3,short answer,2,AO1,6.4.2.3,"The number of times the dice have to be rolled to halve the original number of dice in the tray represents the half-life.
Figure 7 shows an eight-sided dice and a six-sided dice.

Figure 7

The student now used eight-sided dice to model radioactive decay. Dice that landed on the number six were again removed from the tray.
The half-life represented by rolling eight-sided dice is likely to be different from the half-life represented by rolling six-sided dice.
Explain how.","a dice with 8 sides will have a smaller chance of decay (in one roll)
so dice with 8 sides have a greater half-life","allow answers in terms of the 6-
sided dice or in terms of more or 
fewer sides.
allow the 8 sided dice has a 1/8 
chance of decay, whereas the 6 
sided dice has a 1/6 chance of 
decay",21,21,21,21,True,Figure 7,False,,AQA-8464P1H-QP-NOV20.PDF,AQA-8464P1H-W-MS-NOV20.PDF,['Figure 7'],[],https://drive.google.com/file/d/10jrAb-h3nWt50RC429yQFfGVNKWYqwDf/view
NOV20,"AQA GCSE Combined Science: Physics Paper 1H, 2020",2020,6,6.4,short answer,1,AO1,6.4.2.3,"A teacher has two radioactive sources, A and B.
Source A has a longer half-life than source B.
What can be deduced about the nuclei in source A compared with the nuclei in source B?
Do not refer to isotopes in your answer.",nuclei in source A are more stable than nuclei in source B,"allow nuclei in source A are less 
likely to decay (in a given time 
period) ",21,21,21,21,False,,False,,AQA-8464P1H-QP-NOV20.PDF,AQA-8464P1H-W-MS-NOV20.PDF,[],[],https://drive.google.com/file/d/10jrAb-h3nWt50RC429yQFfGVNKWYqwDf/view
NOV20,"AQA GCSE Combined Science: Physics Paper 1H, 2020",2020,7,7.1,extended response,3,AO3,6.1.2.2,"Kangaroos are large animals that travel by jumping.
Figure 8 shows a kangaroo.

Figure 8

Each leg of a kangaroo has a tendon connected to a muscle. Each tendon can be modelled as a spring.
When a jumping kangaroo lands on the ground, the tendons stretch.

Figure 9 shows a sketch graph of how the maximum tendon length during a jump changes with the speed of the kangaroo.

Figure 9

Explain why a kangaroo can jump higher as its speed increases.","the (maximum tendon) extension increases (as speed increases)
so the elastic potential energy increases
which is transferred to gravitational potential energy","allow the tendons stretch more 
(as speed increases) 
allow so the (elastic) force 
increases",22,23,22,23,True,"Figure 8, Figure 9",False,,AQA-8464P1H-QP-NOV20.PDF,AQA-8464P1H-W-MS-NOV20.PDF,"['Figure 8', 'Figure 9']",[],https://drive.google.com/file/d/1l8Z8ZwAjl--Lu73-iVjdFGNPyVn_Y-Fk/view
NOV20,"AQA GCSE Combined Science: Physics Paper 1H, 2020",2020,7,7.2,calculation,5,AO2,6.1.1.2,"A kangaroo has a maximum gravitational potential energy during one jump of 770 J
When the kangaroo lands on the ground 14% of the maximum gravitational potential energy is transferred to elastic potential energy in one tendon.
The tendon has an unstretched length of 35.0 cm
When the kangaroo lands on the ground the tendon stretches to a length of 42.0 cm
Calculate the spring constant of the tendon.
Spring constant = ____ N/m","E = 770 × 0.14
extension = 0.070 m
107.8 = 0.5 × k × (0.070)^2
k = (2 × 107.8) / (0.070^2)
k = 44 000 (N/m)","allow E = 107.8 (J)
this mark may be awarded if 
extension is incorrectly/not 
converted and/or if the efficiency 
equation has not been applied
this mark may be awarded if 
extension is incorrectly/not 
converted and/or if the efficiency 
equation has not been applied
this mark may be awarded if 
extension is incorrectly/not 
converted
this mark may not be awarded if 
the efficiency equation has not 
been applied",24,24,24,24,False,,False,,AQA-8464P1H-QP-NOV20.PDF,AQA-8464P1H-W-MS-NOV20.PDF,[],[],https://drive.google.com/file/d/1l8Z8ZwAjl--Lu73-iVjdFGNPyVn_Y-Fk/view
NOV21,"AQA GCSE Combined Science: Physics Paper 1H, 2021",2021,1,1.1,multiple choice,1,AO1,6.2.1.3,"Figure 1 shows a mobile phone with its battery removed.
Figure 1
A student measured the potential difference across the battery and then put the battery into the phone.
What is the equation linking current (I), potential difference (V) and resistance (R)?
[1 mark]
Tick (✓) one box.
|   |    |
|---|----|
| ☐ | I = V R |
| ☐ | R = I V |
| ☐ | V = I R |
| ☐ | V = I 2 R |",V = I R,,3,3,3,3,True,Figure 1,False,,AQA-8464P1H-QP-NOV21.PDF,AQA-8464P1H-MS-NOV21.PDF,['Figure 1'],[],
NOV21,"AQA GCSE Combined Science: Physics Paper 1H, 2021",2021,1,1.2,calculation,3,AO2,6.2.1.3,"The current in the electronic circuit in the mobile phone was 0.12 A.
The potential difference across the battery was 3.9 V.
Calculate the resistance of the electronic circuit in the mobile phone.
[3 marks]
Resistance = ____ Ω","3.9 = 0.12 × R
R = 3.9 / 0.12
R = 32.5 (Ω) allow R = 33 (Ω)",,4,4,3,3,False,,False,,AQA-8464P1H-QP-NOV21.PDF,AQA-8464P1H-MS-NOV21.PDF,[],[],
NOV21,"AQA GCSE Combined Science: Physics Paper 1H, 2021",2021,1,1.3,short answer,1,AO1,6.2.4.2,"Write down the equation which links energy (E), power (P) and time (t).
[1 mark]","energy = power × time
or
E = P t",,5,5,3,3,False,,False,,AQA-8464P1H-QP-NOV21.PDF,AQA-8464P1H-MS-NOV21.PDF,[],[],
NOV21,"AQA GCSE Combined Science: Physics Paper 1H, 2021",2021,1,1.4,calculation,3,AO2,6.2.4.2,"The battery was fully charged when it was put into the mobile phone.
The battery discharged when the mobile phone was switched on.
The average power output of the battery as it discharged was 0.46 watts.
The time taken to fully discharge the battery was 2500 minutes.
Calculate the energy transferred by the battery.
[3 marks]
Energy transferred = ____ J","time = 150 000 s
energy = 0.46 × 150 000
energy = 69 000 (J)
allow a substitution using an incorrectly/not converted value of time
allow a correct calculation using an incorrectly/not converted value of time","allow a substitution using an 
incorrectly/not converted value 
of time
allow a correct calculation using 
an incorrectly/not converted 
value of time",5,5,3,3,False,,False,,AQA-8464P1H-QP-NOV21.PDF,AQA-8464P1H-MS-NOV21.PDF,[],[],
NOV21,"AQA GCSE Combined Science: Physics Paper 1H, 2021",2021,1,1.5,short answer,1,AO1,6.2.1.1,"The mobile phone includes a sensor to monitor the temperature of the battery.
Figure 2 shows the circuit symbol for a component used in the sensor.
Figure 2
What component does the circuit symbol shown in Figure 2 represent?
[1 mark]",thermistor,,6,6,3,3,True,Figure 2,False,,AQA-8464P1H-QP-NOV21.PDF,AQA-8464P1H-MS-NOV21.PDF,['Figure 2'],[],
NOV21,"AQA GCSE Combined Science: Physics Paper 1H, 2021",2021,1,1.6,short answer,2,AO1,6.2.1.4,"The temperature of the component in Figure 2 increases.
The potential difference across the component remains constant.
Explain what happens to the current in the component.
[2 marks]","the current will increase
(because) the resistance decreases",,6,6,3,3,True,Figure 2,False,,AQA-8464P1H-QP-NOV21.PDF,AQA-8464P1H-MS-NOV21.PDF,['Figure 2'],[],
NOV21,"AQA GCSE Combined Science: Physics Paper 1H, 2021",2021,2,2.1,multiple choice,1,AO1,6.4.1.1,"A radioactive source emits alpha, beta and gamma radiation.
An alpha particle is the same as a helium nucleus.
How many times bigger is the radius of a helium atom than the radius of an alpha particle?
[1 mark]
Tick (✓) one box.
|   |    |
|---|----|
| ☐ | Less than 100 times bigger |
| ☐ | Exactly 5000 times bigger |
| ☐ | More than 10 000 times bigger |",more than 10 000 times bigger,,7,7,7,7,False,,False,,AQA-8464P1H-QP-NOV21.PDF,AQA-8464P1H-MS-NOV21.PDF,[],[],https://drive.google.com/file/d/1eERoxdz11vT3KX34YMwQXk3s4a93L_lr/view
NOV21,"AQA GCSE Combined Science: Physics Paper 1H, 2021",2021,2,2.2,multiple choice,2,AO1,6.4.1.2,"Alpha particles can ionise atoms in the air.
What happens to an atom when it is ionised by an alpha particle?
[2 marks]
Tick (✓) two boxes.
|   |    |
|---|----|
| ☐ | A neutron in the atom becomes a proton. |
| ☐ | The atom becomes a positive ion. |
| ☐ | The atom gains a neutron. |
| ☐ | The atom gains a proton. |
| ☐ | The atom loses an electron. |","the atom becomes a positive ion
the atom loses an electron",,7,7,7,7,False,,False,,AQA-8464P1H-QP-NOV21.PDF,AQA-8464P1H-MS-NOV21.PDF,[],[],https://drive.google.com/file/d/1eERoxdz11vT3KX34YMwQXk3s4a93L_lr/view
NOV21,"AQA GCSE Combined Science: Physics Paper 1H, 2021",2021,2,2.3,short answer,1,AO3,6.4.2.1,"A spark detector is a device that can be used to detect alpha radiation.
A spark detector works by alpha particles ionising atoms in the air near a wire mesh.
A large potential difference creates a spark when the air near the wire mesh is ionised.
Suggest why a spark detector cannot detect beta radiation.
[1 mark]",beta radiation is only weakly ionising,,8,8,8,8,False,,False,,AQA-8464P1H-QP-NOV21.PDF,AQA-8464P1H-MS-NOV21.PDF,[],[],https://drive.google.com/file/d/1eERoxdz11vT3KX34YMwQXk3s4a93L_lr/view
NOV21,"AQA GCSE Combined Science: Physics Paper 1H, 2021",2021,2,2.4,extended response,6,AO3,6.4.2.1,"A teacher wants to demonstrate that the radioactive source emits alpha, beta and gamma radiation.
Figure 3 shows the equipment the teacher has.
Figure 3
Describe a method the teacher could use.
[6 marks]","Level 3: The method would lead to the production of a valid outcome. The key steps are identified and logically sequenced.
Level 2: The method would not necessarily lead to a valid outcome. Most steps are identified, but the method is not fully logically sequenced.
Level 1: The method would not lead to a valid outcome. Some relevant steps are identified, but links are not made clear.
No relevant content

Indicative content
• move the detector very close to the source
• record the count rate
• position the paper between the source and the detector
• record the new count rate
• alpha radiation will not penetrate through paper
• if the count rate with the paper is (significantly) less than without then the source emits alpha radiation
• remove the paper and position the aluminium between the source and the detector
• record the new count rate
• (alpha and) beta radiation will not penetrate through the aluminium
• if the count rate has (significantly) reduced compared with using paper then beta radiation is present
• if radiation penetrates through the aluminium then gamma radiation is present
• the experiment should be repeated and mean results calculated because radioactivity is a random process

To access level 3, the candidate must use the paper sheet, the aluminium sheet and no sheet, and describe how the results would indicate the presence of alpha, beta or gamma radiation.",,9,10,9,10,True,Figure 3,False,,AQA-8464P1H-QP-NOV21.PDF,AQA-8464P1H-MS-NOV21.PDF,['Figure 3'],[],https://drive.google.com/file/d/1eERoxdz11vT3KX34YMwQXk3s4a93L_lr/view
NOV21,"AQA GCSE Combined Science: Physics Paper 1H, 2021",2021,3,3.1,short answer,1,AO1,6.1.3,"Figure 4 shows a sailing boat crossing an ocean. 
Figure 4
There is a wind turbine on the boat.
The wind turbine generates electricity to charge a battery on the boat.
Name one other renewable energy resource that could be used on the boat to generate electricity.
[1 mark]","solar
allow biofuel / biodiesel
allow wave power","allow biofuel / biodiesel 
allow wave power",10,10,10,10,True,Figure 4,False,,AQA-8464P1H-QP-NOV21.PDF,AQA-8464P1H-MS-NOV21.PDF,['Figure 4'],[],https://drive.google.com/file/d/1nv5Jb2i0vRvzBiRRZzsgmpCGowl0mOZD/view
NOV21,"AQA GCSE Combined Science: Physics Paper 1H, 2021",2021,3,3.2,short answer,2,AO1,6.1.3,"The boat also has a generator that burns a fossil fuel.
The battery can be charged by either the wind turbine or the generator.
Give two reasons why this is useful.
[2 marks]
1
____
2
____","sometimes there is no wind (but the battery can still be charged using the generator)
when there is wind less fuel is burned
allow if the generator breaks then the turbine can still generate electricity
allow a disadvantage of burning fossil fuel","allow if the generator breaks 
then the turbine can still 
generate electricity
allow a disadvantage of burning 
fossil fuel",10,11,10,10,True,Figure 4,False,,AQA-8464P1H-QP-NOV21.PDF,AQA-8464P1H-MS-NOV21.PDF,['Figure 4'],[],https://drive.google.com/file/d/1nv5Jb2i0vRvzBiRRZzsgmpCGowl0mOZD/view
NOV21,"AQA GCSE Combined Science: Physics Paper 1H, 2021",2021,3,3.3,short answer,2,AO1,6.1.3,"Explain one environmental impact of using fossil fuels to generate electricity.
[2 marks]","carbon dioxide increases global warming
OR
sulfur dioxide or NOx emissions (1) increases acid rain (1)
OR
particulates or NOx emissions (1) can harm living organisms (1)
allow increases the greenhouse effect","allow increases the greenhouse 
effect",11,11,10,10,False,,False,,AQA-8464P1H-QP-NOV21.PDF,AQA-8464P1H-MS-NOV21.PDF,[],[],https://drive.google.com/file/d/1nv5Jb2i0vRvzBiRRZzsgmpCGowl0mOZD/view
NOV21,"AQA GCSE Combined Science: Physics Paper 1H, 2021",2021,3,3.4,calculation,4,AO2,6.1.1.2,"The kinetic energy of the boat is 81 kJ.
mass of boat = 8000 kg
Calculate the speed of the boat.
[4 marks]
Speed = ____ m/s","81 kJ = 81 000 J
81000 = 0.5 × 8000 × v^2
v^2 = 81000 / (0.5 × 8000)
v = √[81000 / (0.5 × 8000)]
v = 4.5 (m/s)
allow a correct substitution using an incorrectly/not converted value of energy
allow a correct re-arrangement using an incorrectly/not converted value of energy
allow a correct calculation using an incorrectly/not converted value of energy","allow a correct substitution using
an incorrectly/not converted 
value of energy
allow a correct re-arrangement 
using an incorrectly/not 
converted value of energy
allow a correct calculation using 
an incorrectly/not converted 
value of energy",11,11,11,11,False,,False,,AQA-8464P1H-QP-NOV21.PDF,AQA-8464P1H-MS-NOV21.PDF,[],[],https://drive.google.com/file/d/1nv5Jb2i0vRvzBiRRZzsgmpCGowl0mOZD/view
NOV21,"AQA GCSE Combined Science: Physics Paper 1H, 2021",2021,3,3.5,calculation,3,AO2,6.1.1.2,"As the boat passes over a wave, the gravitational potential energy of the boat increases by 19 600 J.
mass of boat = 8000 kg
gravitational field strength = 9.8 N/kg
Calculate the change in height of the centre of mass of the boat as it passes over the wave.
[3 marks]
Change in height = ____ m","19600 = 8000 × 9.8 × Δh
Δh = 19600 / (8000 × 9.8)
Δh = 0.25 m",,12,12,12,12,False,,False,,AQA-8464P1H-QP-NOV21.PDF,AQA-8464P1H-MS-NOV21.PDF,[],[],https://drive.google.com/file/d/1nv5Jb2i0vRvzBiRRZzsgmpCGowl0mOZD/view
NOV21,"AQA GCSE Combined Science: Physics Paper 1H, 2021",2021,4,4.1,short answer,1,AO1,"6.3.1.1, RPA17","A student determined the density of a cube made of bronze.
The student used a balance to measure the mass of the bronze cube.
Figure 5 shows the balance before the cube was added.
Figure 5
What type of error is shown on the balance?
[1 mark]","zero error
allow systematic error",allow systematic error,14,14,14,14,True,Figure 5,False,,AQA-8464P1H-QP-NOV21.PDF,AQA-8464P1H-MS-NOV21.PDF,['Figure 5'],[],
NOV21,"AQA GCSE Combined Science: Physics Paper 1H, 2021",2021,4,4.2,short answer,1,AO1,"6.3.1.1, RPA17","How could the student get a correct value for the mass of the cube from the balance?
[1 mark]","reset the balance to zero g
allow subtract the reading shown on the balance from the reading taken","allow subtract the reading 
shown on the balance from the 
reading taken",14,14,14,14,True,Figure 5,False,,AQA-8464P1H-QP-NOV21.PDF,AQA-8464P1H-MS-NOV21.PDF,['Figure 5'],[],
