exam,year,question_id,subquestion_id,type,marks,AO,spec_reference,question_text,mark_scheme,extra_notes,page_start,page_end,has_figure,figure_labels_joined,has_table,table_labels_joined,figure_labels,table_labels
AQA GCSE Combined Science: Chemistry Paper 1H,2023,Q05,Q05.4,short answer,2,AO2,5.4.1.4; 5.4.3.1; 5.4.3.4; 5.4.3.5; RPA9,"Complete the half equation for the production of chlorine (Cl2) at the positive electrode.
[2 marks]
Cl– → __________ + __________",2 Cl– → Cl2 + 2 e–,"ignore state symbols
allow 1 mark for Cl2 + e–",16,16,FALSE,,FALSE,,,
AQA GCSE Combined Science: Chemistry Paper 1H,2023,Q05,Q05.5,extended response,4,AO3,5.4.2.4; 5.4.3.1; 5.4.3.4; 5.4.3.5; RPA9,"Sodium chloride solution has a pH of 7
During the electrolysis of sodium chloride solution:
• hydrogen gas is produced at the negative electrode
• the pH of the solution increases.
Explain why.
[4 marks]","water (molecules) break down to produce (equal numbers of) H+ and OH– (ions)
(so) the hydrogen / H+ ions are attracted to the negative electrode
(where) hydrogen ions are discharged / reduced
(because) hydrogen is less reactive than sodium
(so there is) a decrease in (the relative number of) hydrogen / H+ ions
or
(so there is) an increase in the relative number of hydroxide / OH– ions",,17,17,FALSE,,FALSE,,,
AQA GCSE Combined Science: Chemistry Paper 1H,2023,Q06,Q06.1,short answer,2,AO1,5.1.1.2; 5.4.2.1; 5.4.2.3; RPA8,"Acids react with some metals to produce soluble salts.
A student adds magnesium to hydrochloric acid until no more acid reacts and excess magnesium remains.
The equation for the reaction is:
Mg(s) + 2 HCl(aq) → MgCl2(aq) + H2(g)
Describe how solid magnesium chloride is obtained from the reaction mixture.
[2 marks]","filter (to remove excess magnesium)
(then) crystallisation (of magnesium chloride solution)","allow (then) evaporation (of 
water from magnesium chloride 
solution)",18,18,FALSE,,FALSE,,,
AQA GCSE Combined Science: Chemistry Paper 1H,2023,Q06,Q06.2,short answer,2,AO2,5.4.1.4; 5.4.2.1; 5.4.2.3; RPA8,"The reaction between magnesium and hydrochloric acid is a redox reaction.
Explain what happens to the magnesium atoms in this reaction.
[2 marks]","(magnesium atoms are) oxidised
(because the atoms) lose (two) electrons",,18,18,FALSE,,FALSE,,,
AQA GCSE Combined Science: Chemistry Paper 1H,2023,Q06,Q06.3,calculation,6,AO2,5.3.1.1; 5.3.2.2; 5.4.2.1; 5.4.2.3; RPA8,"0.72 g of magnesium is added to 100 cm3 of hydrochloric acid.
The hydrochloric acid is in excess.
Calculate the concentration of the magnesium chloride (MgCl2) solution produced in g/dm3.
Relative atomic mass (Ar): Mg = 24
Relative formula mass (Mr): MgCl2 = 95
[6 marks]
Concentration = ____ g/dm3","(moles Mg =) 0.72 / 24 = 0.03
(moles Mg = moles MgCl2)
(so mass MgCl2 =) 0.03 × 95 = 2.85 (g)
(100.0 cm3 = 0.100 dm3)
(concentration = mass / volume ) = 2.85 / 0.100 = 28.5 (g/dm3)","allow a correct calculation using 
an incorrectly calculated value 
of moles of magnesium
allow a correct calculation using 
an incorrectly calculated value 
of moles of magnesium chloride
allow correct use of incorrectly 
calculated mass of magnesium 
chloride ",19,19,FALSE,,FALSE,,,
AQA GCSE Combined Science: Chemistry Paper 1H,2023,Q07,Q07.1,multiple choice,1,AO1,5.2.3.3,"This question is about structure and properties.
Which pair of substances both contain atoms in hexagonal rings?
[1 mark]
Tick () one box.",fullerenes and graphene,,20,20,FALSE,,FALSE,,,
AQA GCSE Combined Science: Chemistry Paper 1H,2023,Q07,Q07.2,short answer,3,AO1,5.2.1.5; 5.2.2.8,"Explain why the structure of copper allows the conduction of thermal energy.
[3 marks]",delocalised electrons (which) move through the structure (and) transfer energy,,20,20,FALSE,,FALSE,,,
AQA GCSE Combined Science: Chemistry Paper 1H,2023,Q07,Q07.3,short answer,3,AO1,5.2.1.3; 5.2.2.3,"Explain why copper oxide (CuO) has a high melting point.
[3 marks]",strong (electrostatic) forces of attraction (between the) oppositely charged ions (so) large amounts of energy needed to break the many / strong bonds / forces,"allow (so) large amounts of 
energy needed to break the 
bonds / forces in all directions
allow (so) large amounts of 
energy needed to break the 
bonds in the lattice",21,21,FALSE,,FALSE,,,
AQA GCSE Combined Science: Chemistry Paper 1H,2023,Q07,Q07.4,short answer,3,AO1,5.2.1.4; 5.2.2.4,"Explain why water (H2O) has a low melting point.
[3 marks]","small molecules (with) weak forces between the molecules or (with) weak intermolecular forces
(so) little energy required to overcome / break the forces between molecules
or
(so) little energy required to overcome / break the intermolecular forces","allow simple molecules
allow (with) weak intermolecular 
bonds
do not accept incorrect 
references to covalent bonds
allow (so) little energy required 
to separate the molecules
allow (so) little energy required 
to overcome / break the 
intermolecular bonds
ignore less energy",21,21,FALSE,,FALSE,,,
AQA GCSE Combined Science: Chemistry Paper 1H,2024,Q01.1,Q01.1,short answer,2,AO3,5.2.2.7,"Copper is a useful metal.
Figure 1 shows the mass of copper produced between 1900 and 2010.
Figure 1
Give two conclusions that can be made from Figure 1. 
[2 marks]
1
____________________________
2
____________________________","any two from:
• mass of copper produced increased (from 1900 to 2010)
• before 1930 the mass of copper produced increased slightly
• after 1930 the mass of copper produced increased rapidly
• the highest mass of copper was produced in 2010
• the lowest mass of copper was produced in 1900
• the increase in the mass of copper produced was not linear","allow a value in the range 1925 to 1930
allow a value in the range 1925 to 1930
allow the highest mass of copper produced was 15.8 (× 10⁹ kilograms) 
allow the lowest mass of copper produced was 0.2 (× 10⁹ kilograms) ",3,3,TRUE,Figure 1,FALSE,,Figure 1,
AQA GCSE Combined Science: Chemistry Paper 1H,2024,Q01.2,Q01.2,short answer,3,AO2,5.2.2.7,"Mixtures of copper and zinc are heated to produce alloys.
Figure 2 represents the structures of pure copper and of an alloy of copper and zinc.
Figure 2
Explain why the alloy of copper and zinc is harder than pure copper.
Use Figure 2.
____________________________","(alloy of copper and zinc is harder because) the atoms are different sizes
(so the) layers are distorted
(so the) layers cannot easily slide",allow (so the) atoms cannot slide over each other,4,4,TRUE,Figure 2,FALSE,,Figure 2,
AQA GCSE Combined Science: Chemistry Paper 1H,2024,Q01.3,Q01.3,calculation,4,AO2,5.2.2.7,"A 5.25 g sample of an alloy of copper and zinc contains 13.5% zinc by mass.
Calculate the mass of copper in the 5.25 g sample.
Give your answer to 3 significant figures.
[4 marks]
Mass of copper (3 significant figures) = ____ g","(% copper = 100 – 13.5 =) 86.5 (%)
(mass of copper =) 86.5/100 × 5.25 = 4.54125 (g)
= 4.54 (g)
OR
(mass of zinc =) 13.5/100 × 5.25 = 0.70875 (g)
(mass of copper = 5.25 – 0.70875) = 4.54125 (g)
= 4.54 (g)","allow correct use of an incorrectly determined percentage of copper
allow an answer correctly rounded to 3 significant figures from an incorrect calculation which uses the values in the question
allow correct use of an incorrectly determined mass of zinc
allow an answer correctly rounded to 3 significant figures from an incorrect calculation which uses the values in the question",5,5,FALSE,,FALSE,,,
AQA GCSE Combined Science: Chemistry Paper 1H,2024,Q02.1,Q02.1,multiple choice,1,AO2,5.4.2.2; 5.4.2.3; RPA8,"A student prepared copper sulfate by reacting an acid with excess copper carbonate.
Figure 3 shows the first two stages in the preparation of copper sulfate.
Figure 3
What is the formula of the acid used to prepare copper sulfate? 
[1 mark]
Tick (✓) one box.

|   | [ ] | HCl     |
|---|-----|---------|
|   | [ ] | HNO3    |
|   | [ ] | H2SO4   |",H₂SO₄,,6,6,TRUE,Figure 3,FALSE,,Figure 3,
AQA GCSE Combined Science: Chemistry Paper 1H,2024,Q02.2,Q02.2,short answer,1,AO1,5.4.2.3; RPA8,"Why is excess copper carbonate used in stage 1?
____________________________",so all the acid reacts,allow so all the acid is used up,7,7,FALSE,,FALSE,,,
AQA GCSE Combined Science: Chemistry Paper 1H,2024,Q02.3,Q02.3,short answer,2,AO1,5.1.1.2; 5.4.2.3; RPA8,"Beaker N contained copper sulfate solution.
Describe how the student could produce copper sulfate crystals from the copper sulfate solution in beaker N.
____________________________","heat the solution (to remove some of the water)
leave to cool / crystallise","ignore references to filtration
allow evaporate some of the water / solution",7,7,FALSE,,FALSE,,,
AQA GCSE Combined Science: Chemistry Paper 1H,2024,Q02.4,Q02.4,table completion,3,AO2,5.3.1.3,"A student investigated the thermal decomposition of copper carbonate.
Copper carbonate decomposes to form two products.
Figure 4 shows the apparatus.
Figure 4
This is the method used.
1. Add 1.2 g of copper carbonate to a test tube.
2. Heat the test tube and contents until the mass does not change.
3. Record the mass of the contents of the test tube after heating.
4. Repeat steps 1 to 3 with different masses of copper carbonate.
Table 1 shows the results. 

Table 1
| Mass of copper carbonate in test tube before heating in grams | Mass of the contents of test tube after heating in grams |
|-------------------------------------------------------------|--------------------------------------------------------|
| 1.2                                                         | 0.8                                                    |
| 2.4                                                         | 1.7                                                    |
| 3.6                                                         | 2.2                                                    |
| 4.8                                                         | 3.1                                                    |
| 6.0                                                         | 3.99                                                   |

Plot the data from Table 1 on Figure 5.
Draw a line of best fit.
[3 marks]
Figure 5","all points correctly plotted
line of best fit","allow a tolerance of ± ½ a small square 
allow 1 mark for 3 or 4 points correctly plotted",8,9,TRUE,Figure 4; Figure 5,TRUE,Table 1,"Figure 4, Figure 5",Table 1
AQA GCSE Combined Science: Chemistry Paper 1H,2024,Q02.5,Q02.5,short answer,1,AO1,5.3.1.3,"Why does the mass of the contents of the test tube decrease in mass when copper carbonate is thermally decomposed?
____________________________",a gas escapes (from the test tube),"allow carbon dioxide escapes (from the test tube)
ignore copper carbonate thermally decomposes",9,9,FALSE,,FALSE,,,
AQA GCSE Combined Science: Chemistry Paper 1H,2024,Q03.1,Q03.1,extended response,6,AO1,5.2.1.1; 5.2.1.2; 5.2.1.3; 5.2.1.4; 5.2.2.3; 5.2.2.4,"Table 2 shows diagrams which represent the structures of two substances.
Table 2
Compare the structure and bonding of sodium chloride and oxygen.
____________________________","Level 2: Scientifically relevant features are identified; the way(s) in which they are similar/different is made clear and (where appropriate) the magnitude of the similarity/difference is noted.
Level 1: Relevant features are identified and differences noted.
No relevant content
Indicative content:
Similarities
• both have strong bonds
• particles have full outer shells
Differences
• sodium chloride is a compound 
• sodium chloride is made from two elements
• oxygen is an element
• sodium chloride is a giant structure of ions
• oxygen is a small molecule
• sodium chloride has ionic bonds
• sodium chloride consists of oppositely charged ions 
• electrons are transferred from sodium atoms to chlorine atoms
• oxygen is covalent
• oxygen (molecules) are made up of oxygen atoms
• joined by double covalent bond
• electrons are shared between oxygen atoms
• with weak forces between oxygen molecules
For Level 2, there must be a comparison of either the structure or bonding of both sodium chloride and oxygen, and a description of magnitude.","For Level 2, there must be a comparison of either the structure or bonding of both sodium chloride and oxygen, and a description of magnitude.",10,10,FALSE,,TRUE,Table 2,,Table 2
AQA GCSE Combined Science: Chemistry Paper 1H,2024,Q04.1,Q04.1,short answer,1,AO1,5.4.2.5,"Nitric acid (HNO3) is a strong acid.
What is meant by a ‘strong acid’? 
____________________________",completely ionised in aqueous solution,"allow completely ionised (when dissolved) in water
allow fully dissociated in aqueous solution",11,11,FALSE,,FALSE,,,
AQA GCSE Combined Science: Chemistry Paper 1H,2024,Q04.2,Q04.2,short answer,1,AO1,5.4.2.5,"Nitric acid is used as a dilute aqueous solution.
What is meant by ‘dilute aqueous solution’? 
____________________________",low concentration of (nitric) acid dissolved in water,allow low concentration of solute / solid / gas dissolved in water,11,12,FALSE,,FALSE,,,
AQA GCSE Combined Science: Chemistry Paper 1H,2024,Q04.3,Q04.3,multiple choice,1,AO2,5.4.2.5,"10 cm3 of a nitric acid solution has a pH of 1
Water is added to the nitric acid solution to change the pH of the nitric acid solution to pH 3
How does the hydrogen ion concentration change?
[1 mark]
Tick (✓) one box.
|   | [ ] | Decreases by a factor of 100 |
|---|-----|------------------------------|
|   | [ ] | Decreases by a factor of 10  |
|   | [ ] | Increases by a factor of 10  |
|   | [ ] | Increases by a factor of 100 |",decreases by a factor of 100,,12,12,FALSE,,FALSE,,,
AQA GCSE Combined Science: Chemistry Paper 1H,2024,Q04.4,Q04.4,short answer,1,AO1,5.4.2.4,"Write the ionic equation for the reaction between an acid and an alkali. 
+ →
____________________________",H⁺ + OH⁻ → H₂O,ignore state symbols,12,12,FALSE,,FALSE,,,
AQA GCSE Combined Science: Chemistry Paper 1H,2024,Q04.5,Q04.5,multiple choice,1,AO2,5.3.2.3,"The equation shows the reaction between magnesium carbonate and nitric acid.
MgCO3 + 2 HNO3 → Mg(NO3)2 + H2O + CO2
What is the ratio of the number of moles of magnesium carbonate to the number of moles of nitric acid in the reaction?
[1 mark]
Tick (✓) one box.
|   | [ ] | 1 : 1 |
|---|-----|--------|
|   | [ ] | 1 : 2 |
|   | [ ] | 2 : 1 |
|   | [ ] | 2 : 2 |",01:02,,13,13,FALSE,,FALSE,,,
AQA GCSE Combined Science: Chemistry Paper 1H,2024,Q04.6,Q04.6,multiple choice,1,AO3,5.3.2.4; 5.4.2.2; RPA10,"A student mixed some magnesium carbonate with excess nitric acid.
The student then added two drops of universal indicator to the solution.
What colour was the solution after the addition of universal indicator? 
[1 mark]
Tick (✓) one box.
|   | [ ] | Red   |
|---|-----|-------|
|   | [ ] | Green |
|   | [ ] | Blue  |",red,,13,13,FALSE,,FALSE,,,
AQA GCSE Combined Science: Chemistry Paper 1H,2024,Q04.7,Q04.7,short answer,2,AO3,5.5.1.1; RPA10,"A student investigated the temperature change when different masses of magnesium carbonate were reacted with excess nitric acid.
Figure 6 shows the apparatus.
Figure 6
This is the method used.
1. Pour 50 cm3 of nitric acid into a polystyrene cup.
2. Measure the temperature of the solution.
3. Add 0.50 g of magnesium carbonate.
4. Stir the mixture.
5. Measure the temperature.
6. Repeat steps 1 to 5 with different masses of magnesium carbonate.
Give two improvements to the method to produce more accurate results.
Do not refer to improvements to the apparatus in your answer.
[2 marks]
1
____________________________
2
____________________________","(for each mass of magnesium carbonate) repeat the experiment (discard anomalous results) and calculate the mean
measure the highest temperature",,14,14,TRUE,Figure 6,FALSE,,Figure 6,
AQA GCSE Combined Science: Chemistry Paper 1H,2024,Q05.1,Q05.1,short answer,2,AO1,5.2.1.4,"Nitrogen reacts with hydrogen to produce ammonia (NH3).
Complete the dot and cross diagram for an ammonia molecule.
____________________________","one shared pair of electrons in each overlap
2 non-bonding electrons on the outer shell of nitrogen","allow any combination of circles, dots, crosses or e(-)
ignore any inner shell electrons on nitrogen
do not accept non-bonding electrons on hydrogen
an answer of
scores 2 marks",16,16,FALSE,,FALSE,,,
AQA GCSE Combined Science: Chemistry Paper 1H,2024,Q05.2,Q05.2,calculation,4,AO2,5.3.1.1; 5.3.2.2,"The equation for the reaction between nitrogen and hydrogen to produce ammonia is:
N2 + 3H2 → 2NH3
Calculate the mass of hydrogen that is needed to produce 25 g of ammonia.
Relative atomic masses (Ar): H = 1  N = 14 
[4 marks]
Mass of hydrogen = ____ g","(Mr NH₃ = 14 + (3 × 1) =) 17
(moles NH₃ =) 25 / 17 = 1.47 (mols)
(moles H₂ = 1.47 × (3/2)) = 2.205 (mols)
(mass H₂ = 2.205 × 2) = 4.41 (g)
alternative approach
(2 × Mr NH₃ = 17 × 2 =) 34
6 g H₂ → 34 g NH₃
(6/34) × 25 (g) H₂ → 25 g NH₃
4.41 (g H₂ → 25 g NH₃)","allow correct use of incorrectly determined Mr of NH₃
allow correct use of an incorrectly calculated value of moles of NH₃
allow 4.4117647 (g) correctly rounded to at least 2 significant figures
allow correct use of an incorrectly calculated value of moles of H₂
allow correct use of an incorrectly calculated value of 2 × Mr NH₃",17,17,FALSE,,FALSE,,,
AQA GCSE Combined Science: Chemistry Paper 1H,2024,Q05.3,Q05.3,calculation,5,AO2,5.5.1.1; 5.5.1.3,"Figure 7 shows the displayed formulae equation for the reaction of nitrogen with hydrogen.
Figure 7
In the reaction the energy released forming new bonds is 93 kJ/mol greater than the energy needed to break existing bonds.
Table 3 shows bond energies.
Table 3
| Bond         | Bond energy in kJ/mol |
|--------------|----------------------|
| H — H        | 945                  |
| N — H        | X                    |
|              | 391                  |
Calculate the bond energy X for the H — H bond. 
Use Figure 7 and Table 3. 
[5 marks]
X = ____ kJ/mol","(bonds broken =) 945 + 3X
(bonds made = 6 × 391 =) 2346
(energy released = bonds made – bonds broken =) 93 = 2346 – [945 + 3X]
(3X =) 1308 (kJ / mol)
(X =) 436 (kJ / mol)","allow correct use of incorrectly determined value(s) of bonds broken and/or bonds formed
allow correct use of an incorrectly determined value for 3X",18,18,TRUE,Figure 7,TRUE,Table 3,Figure 7,Table 3
AQA GCSE Combined Science: Chemistry Paper 1H,2024,Q05.4,Q05.4,short answer,3,AO2,5.5.1.2,"Energy is released from the reaction to produce ammonia.
Figure 8 shows part of the reaction profile for the reaction between nitrogen and hydrogen to produce ammonia.
Complete Figure 8.
You should:
• complete the profile line
• label the energy level of the reactants and the product
• label the overall energy change.
[3 marks]
Figure 8","correct shape for exothermic reaction with the product line below the level of the reactants line
labelled horizontal lines for reactants and product
labelled overall energy change
labelled horizontal lines for nitrogen and hydrogen and ammonia","an answer of
scores 3 marks",19,19,TRUE,Figure 8,FALSE,,Figure 8,
AQA GCSE Combined Science: Chemistry Paper 1H,2024,Q06.1,Q06.1,short answer,1,AO1,5.4.1.2; 5.4.1.3,"In the Earth most metals are found as compounds.
Name one metal that is found in the Earth as the metal itself. 
[1 mark]
____________________________",gold,"allow Au
allow silver / Ag
allow platinum / Pt
allow copper / Cu",21,21,TRUE,Figure 9,FALSE,,Figure 9,
AQA GCSE Combined Science: Chemistry Paper 1H,2024,Q06.2,Q06.2,short answer,1,AO3,5.4.1.2; 5.4.1.3,"Figure 9 shows a reactivity series.
Figure 9
Suggest the most economical method for extracting metal Z from an oxide of metal Z.
[1 mark]
____________________________",reduction by carbon,allow heating / reacting with carbon,21,21,TRUE,Figure 9,FALSE,,Figure 9,
AQA GCSE Combined Science: Chemistry Paper 1H,2024,Q06.3,Q06.3,short answer,1,AO1,5.4.3.1; 5.4.3.3,"Figure 10 shows the electrolysis cell used to extract aluminium from aluminium oxide.
Figure 10
Name substance X shown in Figure 10.
[1 mark]
____________________________",cryolite,,22,22,TRUE,Figure 10,FALSE,,Figure 10,
AQA GCSE Combined Science: Chemistry Paper 1H,2024,Q06.4,Q06.4,extended response,3,AO1,5.4.3.1; 5.4.3.2; 5.4.3.3,"Explain what happens to the positive carbon electrodes during the extraction of aluminium from aluminium oxide. 
[3 marks]
____________________________","oxygen is produced (which) reacts with the carbon / electrode / anode to form carbon dioxide
(so the electrode) has to be continually replaced","allow (so) the electrode is used up
allow (so) the electrode burns away",23,23,FALSE,,FALSE,,,
AQA GCSE Combined Science: Chemistry Paper 1H,2024,Q06.5,Q06.5,short answer,2,AO2,5.4.3.1; 5.4.3.2; 5.4.3.3; 5.4.3.5,"The formula of aluminium oxide is Al2O3
Write a half equation for the reaction at the negative electrode in Figure 10.
[2 marks]
+ →
____________________________",Al³⁺ + 3e⁻ → Al,"allow 1 mark for 
Al³⁺ + e⁻ → Al 
with no / incorrect balancing numbers",23,23,FALSE,,FALSE,,,
AQA GCSE Combined Science: Chemistry Paper 1H,2024,Q07.1,Q07.1,extended response,4,AO2,5.1.2.6; 5.2.1.1,"Halogens are elements in Group 7 of the periodic table.
Calcium reacts with chlorine to produce calcium chloride. 
Explain what happens to calcium atoms and to chlorine atoms when calcium reacts with chlorine to produce calcium chloride.
[4 marks]
____________________________","each calcium atom loses two electrons
(and) each chlorine atom gains one electron
(so) one calcium atom reacts with two chlorine atoms
(to form) Ca²⁺ ions and Cl⁻ ions
or
(to form) calcium ion(s) and chloride ion(s)","allow 1 mark for calcium atoms lose electrons and chlorine atoms gain electrons
allow (to form) ions with full outer shells 
allow energy level for shell",24,24,FALSE,,FALSE,,,
AQA GCSE Combined Science: Chemistry Paper 1H,2024,Q07.2,Q07.2,extended response,4,AO1,5.1.2.3; 5.1.2.6,"Explain why chlorine is more reactive than bromine. 
[4 marks]
____________________________","chlorine has fewer shells
(so the) outer shell is closer to the nucleus 
(so) stronger attraction between nucleus and electron gained 
or
(so) stronger attraction between nucleus and outer shell
(so) gains the electron more easily","allow converse for bromine
allow energy level for shell
allow chlorine is a smaller atom
allow (so the) outer electrons are closer to the nucleus 
allow (so there) is less shielding",24,24,FALSE,,FALSE,,,
AQA GCSE Combined Science: Chemistry Paper 1H,2024,Q07.3,Q07.3,short answer,2,AO3,5.1.2.6,"Table 4 shows the boiling points of four hydrogen halides.
Table 4
| Hydrogen halide | Boiling point in °C |
|-----------------|---------------------|
| HF              | 20                  |
| HCl             | –85                 |
| HBr             | –67                 |
| HI              | –35                 |
Describe how the boiling points of the hydrogen halides change as the relative formula mass changes. 
[2 marks]
____________________________","as the relative formula mass increases the boiling points (of the hydrogen halides) increase
(but) HF has the highest boiling point
or
(but) HF does not follow the trend",allow (but) HF is anomalous,25,25,FALSE,,TRUE,Table 4,,Table 4
AQA GCSE Combined Science: Chemistry Paper 1H,2024,Q08.1,Q08.1,short answer,1,AO1,5.2.3.3,"Carbon nanotubes are cylindrical fullerenes.
Figure 11 represents the structure of a carbon nanotube.
Figure 11
Describe the arrangement of carbon atoms in the nanotube shown in Figure 11.
[1 mark]
____________________________",hexagonal (rings of carbon atoms),,26,26,TRUE,Figure 11,FALSE,,Figure 11,
AQA GCSE Combined Science: Chemistry Paper 1H,2024,Q08.2,Q08.2,short answer,1,AO1,5.2.3.3,"Nanotubes are used in electronics.
Give one other use of nanotubes.
[1 mark]
____________________________","any one from:
• nanotechnology
• materials
allow suitable use such as:
• sporting equipment
• body armour
allow drug delivery",ignore references to electronic use,26,26,FALSE,,FALSE,,,
AQA GCSE Combined Science: Chemistry Paper 1H,2024,Q08.3,Q08.3,calculation,2,AO2,5.2.3.3; 5.3.2.1,"A nanotube contains 2380 carbon atoms.
Calculate the number of moles of carbon in this nanotube.
The Avogadro constant is 6.02 × 10^23 per mole.
[2 marks]
Number of moles of carbon = ____ mols",(number of moles =) 2380/6.02 × 10²³ = 3.95 × 10⁻²¹ (mols),allow 3.953488 × 10⁻²¹ (mols) correctly rounded to at least 2 significant figures,27,27,FALSE,,FALSE,,,
AQA GCSE Combined Science: Chemistry Paper 1H,2024,Q08.4,Q08.4,extended response,3,AO3,5.2.3.3,"Explain why carbon nanotubes can conduct electricity.
Refer to bonding between carbon atoms in your answer.
[3 marks]
____________________________","each (carbon) atom forms three covalent bonds
(so) one electron from each (carbon) atom is delocalised
(so these) delocalised electrons carry (electrical) charge through the structure / nanotube","ignore throughout for through
ignore current / electricity",27,27,FALSE,,FALSE,,,
